"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 11 16:02:48 GMT 2024","Mon Mar 11 16:02:59 GMT 2024","10759","firefox","","","","","has title",""
"passed","Mon Mar 11 16:02:27 GMT 2024","Mon Mar 11 16:02:48 GMT 2024","21081","chromium","","","","","has title",""
"failed","Mon Mar 11 16:03:02 GMT 2024","Mon Mar 11 16:03:02 GMT 2024","484","webkit","","","","","has title",""
